Year,Title,Summary
1949,"Kiss Me, Kate","A musical adaptation of Shakespeare's ""The Taming of the Shrew"" set backstage of a production of the play, focusing on the tumultuous relationship of its stars."
1950,South Pacific,"Set during World War II, this musical explores themes of love and prejudice through intertwined stories on a Pacific island."
1951,Guys and Dolls,"A romantic comedy featuring gamblers, showgirls, and a mission worker in New York City."
1952,The King and I,The story of an English widow who becomes the governess to the children of the King of Siam.
1953,Wonderful Town,Chronicles the adventures of two sisters from Ohio trying to make it in bohemian 1930s Greenwich Village.
1954,Kismet,A story of a street poet who charms his way into the royal court in ancient Baghdad.
1955,The Pajama Game,Highlights labor tensions in a pajama factory and a romance between management and union leadership.
1956,Pipe Dream,"A tale of dreamers and drifters in a coastal Californian town, focusing on their struggles for a better future."
1956,Damn Yankees,A middle-aged baseball fan sells his soul to the devil to help his favorite team win the pennant.
1957,The Most Happy Fella,A love story between an older vineyard owner and a younger waitress set in Napa Valley.
1957,My Fair Lady,A linguistics professor attempts to transform a Cockney flower girl into a refined lady.
1957,Candide,Follows the optimistic but hapless protagonist through misadventures across the globe.
1957,Bells Are Ringing,Centers on a lonely telephone answering service operator who becomes overly involved in the lives of her clients.
1958,West Side Story,A tragic love story set amidst gang rivalry in New York City.
1958,The Music Man,"A con man poses as a boys' band organizer and leader to scam a small town, but ends up falling in love with the local librarian."
1958,"Oh, Captain!",A ship captain struggles with temptation and loyalty while ashore.
1958,New Girl in Town,Depicts the story of a woman trying to start a new life while contending with her past.
1958,Jamaica,A comedic love triangle set on a picturesque Caribbean island.
1959,Redhead,A murder mystery musical set in a wax museum in Victorian London.
1959,La Plume de Ma Tante,A revue focused on the comedic aspects of French culture and manners.
1959,Flower Drum Song,Explores the clash between traditional Chinese values and American modernization within a Chinese-American family.
1960,The Sound of Music,A lively young governess brings joy and music to the family of a strict naval captain.
1960,Take Me Along,Chronicles a small-town family and their quirks when a fun-loving uncle visits.
1960,Once Upon a Mattress,"A comedic retelling of the fairy tale ""The Princess and the Pea."""
1960,Gypsy,The narrative follows the ambitious stage mother of the famous striptease artist Gypsy Rose Lee.
1960,Fiorello!,"Chronicles the life and career of Fiorello LaGuardia, New York City’s mayor."
1961,Irma La Douce,"Revolves around a French street walker and her love-struck, innocuous suitor."
1961,Do Re Mi,Follows a small-time con man as he tries to get rich through the juke-box industry.
1961,Bye Bye Birdie,Explores the chaos in a small town when a rock-and-roll star visits as part of a publicity stunt.
1962,No Strings,A romance between an American writer and an African-American model in Paris.
1962,Milk and Honey,Focuses on American tourists in Israel and the birth of love in a new land.
1962,How to Succeed in Business Without Really Trying,"A satire on corporate life, following a young man's rise from window washer to high executive."
1962,Carnival!,A lonely orphan joins a circus and finds herself in a complicated love triangle.
1963,Stop the World – I Want to Get Off,A man’s life is portrayed as a circus in this semi-autobiographical musical.
1963,Oliver!,"An adaptation of Dickens’s ""Oliver Twist,"" following an orphan’s adventures in Victorian London."
1963,Little Me,A woman's rags to riches story as she attempts to win the man of her dreams.
1963,A Funny Thing Happened on the Way to the Forum,A slave attempts to win his freedom by helping his master woo the girl next door.
1964,She Loves Me,Two bickering co-workers at a perfumery unaware they are each other’s romantic pen pals.
1964,High Spirits,A widow's home is turned upside down when the ghost of her husband appears during a seance.
1964,"Hello, Dolly!",A matchmaker decides to find a match for herself in the wealthy Horace Vandergelder.
1964,Funny Girl,"Chronicles the life and career of comedienne Fanny Brice, from her rise to stardom through her turbulent romantic life."
1965,"Oh, What a Lovely War!","A satirical take on World War I, presented as a circus-like revue."
1965,Half a Sixpence,Follows an orphan's sudden wealth and subsequent struggles with love and identity.
